Instance,Items,Capacity,Algorithm,Value,Optimal,Approx Factor,Time (s),Memory (MB)
knapPI_14_200_1000_1,200,1000,2-Approx,5397,5397.00,1.00,0.00,20.43
knapPI_14_200_1000_1,200,1000,FPTAS (eps=4),5397,5397.00,1.00,0.10,29.86
knapPI_14_200_1000_1,200,1000,FPTAS (eps=2),5397,5397.00,1.00,0.23,39.34
knapPI_14_200_1000_1,200,1000,FPTAS (eps=1),5397,5397.00,1.00,0.42,58.50
knapPI_14_200_1000_1,200,1000,FPTAS (eps=0.5),5397,5397.00,1.00,0.84,97.81
knapPI_14_200_1000_1,200,1000,FPTAS (eps=0.25),5397,5397.00,1.00,1.76,173.38
knapPI_14_200_1000_1,200,1000,Branch & Bound,5397.00,5397.00,1.00,0.00,20.32
knapPI_14_200_1000_1,200,1000,Backtracking,NA,5397.00,NA,NA,NA
knapPI_1_500_1000_1,500,1000,2-Approx,28834,28857.00,1.00,0.00,20.37
knapPI_1_500_1000_1,500,1000,FPTAS (eps=4),28857,28857.00,1.00,1.78,146.40
knapPI_1_500_1000_1,500,1000,FPTAS (eps=2),28857,28857.00,1.00,3.50,273.43
knapPI_1_500_1000_1,500,1000,FPTAS (eps=1),28857,28857.00,1.00,6.85,526.78
knapPI_1_500_1000_1,500,1000,FPTAS (eps=0.5),28857,28857.00,1.00,14.85,1033.14
knapPI_1_500_1000_1,500,1000,FPTAS (eps=0.25),28857,28857.00,1.00,31.38,2043.56
knapPI_1_500_1000_1,500,1000,Branch & Bound,28857.00,28857.00,1.00,0.00,20.48
knapPI_1_500_1000_1,500,1000,Backtracking,NA,28857.00,NA,NA,NA
knapPI_2_500_1000_1,500,1000,2-Approx,4552,4566.00,1.00,0.00,20.50
knapPI_2_500_1000_1,500,1000,FPTAS (eps=4),4566,4566.00,1.00,1.57,142.40
knapPI_2_500_1000_1,500,1000,FPTAS (eps=2),4566,4566.00,1.00,3.11,264.77
knapPI_2_500_1000_1,500,1000,FPTAS (eps=1),4566,4566.00,1.00,6.54,509.53
knapPI_2_500_1000_1,500,1000,FPTAS (eps=0.5),4566,4566.00,1.00,13.41,997.02
knapPI_2_500_1000_1,500,1000,FPTAS (eps=0.25),4566,4566.00,1.00,28.87,1970.73
knapPI_2_500_1000_1,500,1000,Branch & Bound,4566.00,4566.00,1.00,0.00,20.41
knapPI_2_500_1000_1,500,1000,Backtracking,NA,4566.00,NA,NA,NA
knapPI_3_500_1000_1,500,1000,2-Approx,7098,7117.00,1.00,0.00,20.51
knapPI_3_500_1000_1,500,1000,FPTAS (eps=4),7112,7117.00,1.00,1.77,161.44
knapPI_3_500_1000_1,500,1000,FPTAS (eps=2),7116,7117.00,1.00,3.44,302.15
knapPI_3_500_1000_1,500,1000,FPTAS (eps=1),7116,7117.00,1.00,7.16,583.77
knapPI_3_500_1000_1,500,1000,FPTAS (eps=0.5),7117,7117.00,1.00,14.83,1145.90
knapPI_3_500_1000_1,500,1000,FPTAS (eps=0.25),7117,7117.00,1.00,30.18,2268.88
knapPI_3_500_1000_1,500,1000,Branch & Bound,7117.00,7117.00,1.00,0.16,20.45
knapPI_3_500_1000_1,500,1000,Backtracking,NA,7117.00,NA,NA,NA
